mx,my,mz
-0.0826926,0.101356,0.199018
-0.0450002,-0.106917,-0.208917
0.159718,0.0798889,0.171868
-0.226221,-0.0331513,-0.105153
0.249713,-0.00888878,0.0310108
-0.242222,0.0452208,0.0504951
0.189175,-0.0772379,-0.138647
0.112758,0.0228286,-0.209445
0.0029062,-0.00252513,0.247822
-0.105513,-0.00961254,-0.228269
0.17703,0.0217323,0.177723
-0.225927,-0.036843,-0.104238
0.241664,0.0507161,-0.0014488
-0.201055,-0.0454377,0.119296
-0.108529,-0.140727,0.172766
0.0288867,0.100923,-0.228718
0.0415159,-0.0494887,0.243361
-0.103911,-0.013049,-0.228688
0.156658,0.0865288,0.170138
-0.182091,-0.140949,-0.0607919
0.167793,0.15699,-0.0655911
0.0757734,0.21522,-0.106164
-0.0547846,-0.168921,0.178499
0.0319474,0.0986856,-0.229143
-0.00183224,0.00323261,0.246905
-0.0400798,-0.113256,-0.205635
0.0786632,0.19454,0.114319
-0.0906742,-0.230648,0.00321855
-0.0393549,-0.246629,0.0319783
0.0793427,0.214222,-0.105259
-0.11446,-0.136449,0.171045
0.11804,0.016788,-0.206165
-0.0875155,0.107203,0.19481
0.043025,-0.204576,-0.133148
-0.000159792,0.24721,0.0471082
0.00258584,0.24656,0.0496757
-0.0964144,-0.227332,-0.00031727
0.173202,0.151257,-0.0619811
-0.205607,-0.0392547,0.115271
0.191891,-0.0821433,-0.133646
-0.141734,0.172804,0.115682
0.0761859,-0.224098,-0.0858673
0.038716,-0.200981,-0.138143
0.0838673,0.188893,0.118342
-0.186686,-0.134547,-0.0644046
0.243824,0.0444555,0.002099
-0.24234,0.0480319,0.0479187
0.204833,-0.118294,-0.0862979
-0.140524,0.171347,0.118993
