mx,my,mz
0.0888187,0.0926311,-0.0269599
0.114925,0.119858,-0.0348842
0.118014,0.12308,-0.0358218
0.114925,0.119858,-0.0348842
0.0888187,0.0926311,-0.0269599
0.100533,0.104849,-0.0305157
-0.0852987,-0.0889601,0.0258914
0.145155,0.151386,-0.0440602
-0.0852987,-0.0889601,0.0258914
0.100533,0.104849,-0.0305157
0.0772868,0.0806043,-0.0234595
0.120371,0.125538,-0.0365372
-0.0802724,-0.083718,0.0243658
0.120371,0.125538,-0.0365372
0.0772868,0.0806043,-0.0234595
0.101498,0.105855,-0.0308085
0.123971,0.129292,-0.0376299
0.098043,0.102251,-0.0297598
0.123971,0.129292,-0.0376299
0.101498,0.105855,-0.0308085
0.0968181,0.100974,-0.029388
0.090841,0.0947403,-0.0275737
0.0915136,0.0954417,-0.0277779
0.090841,0.0947403,-0.0275737
0.0968181,0.100974,-0.029388
