mx,my,mz
-2.43688e-06,3.0704e-07,-1.48674e-06
2.3178e-06,-2.88705e-07,1.4076e-06
-2.42629e-06,3.04267e-07,-1.48432e-06
2.3211e-06,-2.9493e-07,1.40356e-06
-2.44385e-06,3.05886e-07,-1.48279e-06
2.32326e-06,-2.8345e-07,1.41737e-06
-2.43764e-06,3.0628e-07,-1.48097e-06
2.31546e-06,-2.94816e-07,1.40681e-06
1.25746e-06,-1.19111e-06,-2.29835e-06
-1.20681e-06,1.12515e-06,2.18551e-06
1.24398e-06,-1.18764e-06,-2.29611e-06
-1.18855e-06,1.13616e-06,2.18415e-06
1.24969e-06,-1.185e-06,-2.29931e-06
-1.19355e-06,1.12478e-06,2.18493e-06
1.24931e-06,-1.18638e-06,-2.28746e-06
-1.18564e-06,1.13544e-06,2.19108e-06
2.42631e-06,-3.04269e-07,1.48857e-06
-2.32467e-06,2.9473e-07,-1.41043e-06
2.43643e-06,-3.05695e-07,1.47019e-06
-2.32256e-06,2.85409e-07,-1.41034e-06
2.43007e-06,-3.02166e-07,1.49238e-06
-2.31142e-06,2.97943e-07,-1.41599e-06
2.44081e-06,-2.99903e-07,1.48901e-06
-2.31618e-06,2.86821e-07,-1.41044e-06
-1.25054e-06,1.17983e-06,2.29899e-06
1.19034e-06,-1.13468e-06,-2.1807e-06
-1.25591e-06,1.1883e-06,2.29673e-06
1.19686e-06,-1.12818e-06,-2.18905e-06
-1.24533e-06,1.18585e-06,2.29769e-06
1.19362e-06,-1.13405e-06,-2.19452e-06
-1.25319e-06,1.18909e-06,2.29958e-06
1.19652e-06,-1.12861e-06,-2.18919e-06
-2.44435e-06,3.0722e-07,-1.48429e-06
2.32375e-06,-2.84093e-07,1.41868e-06
-2.43481e-06,3.04977e-07,-1.48285e-06
2.31382e-06,-2.92977e-07,1.40818e-06
-2.43441e-06,3.0487e-07,-1.4869e-06
2.31861e-06,-2.88922e-07,1.40829e-06
-2.42732e-06,3.04708e-07,-1.48413e-06
2.32403e-06,-2.97514e-07,1.40406e-06
1.2503e-06,-1.18513e-06,-2.30005e-06
-1.19535e-06,1.12489e-06,2.18675e-06
1.24723e-06,-1.18572e-06,-2.28822e-06
-1.18533e-06,1.13416e-06,2.19207e-06
1.25514e-06,-1.18936e-06,-2.29936e-06
-1.20808e-06,1.12447e-06,2.18583e-06
1.24449e-06,-1.18658e-06,-2.29702e-06
-1.19189e-06,1.13664e-06,2.1854e-06
2.43002e-06,-3.00201e-07,1.49169e-06
-2.31123e-06,2.97576e-07,-1.41613e-06
2.44407e-06,-3.00579e-07,1.48795e-06
-2.31805e-06,2.89029e-07,-1.41046e-06
2.4291e-06,-3.05865e-07,1.48925e-06
-2.32408e-06,2.94932e-07,-1.4112e-06
2.43587e-06,-3.04772e-07,1.47119e-06
-2.31997e-06,2.83256e-07,-1.41121e-06
-1.24518e-06,1.18682e-06,2.29777e-06
1.19451e-06,-1.13632e-06,-2.19328e-06
-1.25579e-06,1.19101e-06,2.2996e-06
1.1996e-06,-1.13235e-06,-2.18883e-06
-1.25343e-06,1.1829e-06,2.29872e-06
1.19201e-06,-1.1378e-06,-2.18087e-06
-1.25614e-06,1.19049e-06,2.29654e-06
1.19637e-06,-1.12991e-06,-2.18844e-06
