mx,my,mz
0.0451943,-0.0679458,-0.261205
-0.0446548,0.0671347,0.258088
0.0436651,-0.0656468,-0.25237
-0.0408896,0.0614738,0.23633
0.0369344,-0.0555275,-0.213473
-0.0274478,0.0412651,0.158644
0.00537544,-0.00808147,-0.0310689
0.00191842,-0.00288413,-0.0110886
-0.00717327,0.0107843,0.0414609
0.0126157,-0.0189665,-0.0729169
-0.0298993,0.0449505,0.172812
0.0378246,-0.0568656,-0.218616
-0.0413048,0.0620979,0.238729
0.0438017,-0.065852,-0.253158
-0.0446985,0.0672004,0.25834
-0.0446983,0.0672,0.258339
0.04365,-0.0656241,-0.252281
-0.0406912,0.0611756,0.235182
0.036361,-0.0546654,-0.210157
-0.0256062,0.0384965,0.147999
-0.000341767,0.000513751,0.00197617
0.0111259,-0.0167266,-0.0643072
-0.0178794,0.0268797,0.103342
0.023022,-0.0346112,-0.133065
-0.0338863,0.0509445,0.195859
0.0394634,-0.0593292,-0.228091
-0.0421229,0.0633276,0.243459
0.0441187,-0.0663283,-0.254992
-0.0448536,0.0674333,0.259237
0.045264,-0.0680505,-0.261608
0.0438011,-0.065851,-0.253154
-0.0408279,0.0613812,0.235972
0.0363133,-0.0545937,-0.20988
-0.0249382,0.0374923,0.144137
-0.00297528,0.00447297,0.0171977
0.0168957,-0.0254009,-0.0976565
-0.0257717,0.038745,0.14896
0.0315703,-0.0474624,-0.182475
-0.0379068,0.0569886,0.219099
0.0414474,-0.0623116,-0.239561
-0.043215,0.0649692,0.249775
0.0445939,-0.0670424,-0.257742
-0.045126,0.0678425,0.260815
0.0454139,-0.0682755,-0.262476
-0.0448532,0.0674328,0.259235
-0.0413032,0.0620955,0.238719
0.0367881,-0.0553074,-0.212624
-0.0253973,0.0381825,0.14679
-0.00318454,0.00478757,0.0184071
0.0190108,-0.0285807,-0.109882
-0.0298385,0.0448588,0.172466
0.0364218,-0.0547559,-0.210518
-0.0406568,0.0611228,0.234997
0.0430482,-0.064718,-0.248818
-0.0442645,0.0665467,0.255846
0.045148,-0.067875,-0.260949
-0.0454923,0.0683929,0.262936
0.0456437,-0.0686207,-0.263808
-0.0451255,0.0678418,0.260811
0.0441177,-0.0663268,-0.254986
0.037821,-0.0568603,-0.218596
-0.0270151,0.0406146,0.156141
-0.00103543,0.00155659,0.0059855
0.0175576,-0.026396,-0.101482
-0.0301746,0.0453642,0.17441
0.0380383,-0.0571862,-0.219863
-0.0419152,0.0630145,0.242273
0.0439037,-0.066004,-0.253766
-0.0449289,0.0675452,0.259691
0.0455862,-0.0685335,-0.263488
-0.0458454,0.0689232,0.264983
0.045915,-0.0690281,-0.265382
-0.0454917,0.068392,0.262933
0.0445926,-0.0670405,-0.257734
-0.0421205,0.063324,0.243445
-0.0298906,0.0449375,0.172762
0.00405499,-0.00609632,-0.0234365
0.012467,-0.0187428,-0.0720586
-0.0268139,0.0403118,0.154984
0.0369382,-0.0555324,-0.213505
-0.0420127,0.0631612,0.242838
0.044173,-0.0664088,-0.255326
-0.0452127,0.0679717,0.261335
0.0458202,-0.068885,-0.264845
-0.0460691,0.0692593,0.266282
0.0461323,-0.0693545,-0.266644
-0.0458449,0.0689225,0.26498
0.0451467,-0.0678731,-0.260941
-0.0432122,0.0649649,0.249758
0.0394585,-0.0593218,-0.228062
0.0125954,-0.0189359,-0.0727993
0.00383124,-0.00575985,-0.0221444
-0.0196014,0.0294686,0.113295
0.0327464,-0.0492306,-0.189275
-0.0409915,0.0616259,0.236934
0.0439905,-0.0661344,-0.254271
-0.0452339,0.0680036,0.26146
0.0458955,-0.0689982,-0.265284
-0.0461676,0.0694071,0.266856
0.0462517,-0.0695336,-0.26734
-0.0460688,0.0692589,0.26628
0.0455854,-0.0685323,-0.263483
-0.0442623,0.0665434,0.255833
0.0414425,-0.0623043,-0.239533
-0.033876,0.0509289,0.195798
-0.00714808,0.0107464,0.0413153
-0.00925795,0.0139184,0.0535102
0.0248388,-0.0373425,-0.143568
-0.0385322,0.0579288,0.222718
0.0432602,-0.0650368,-0.250048
-0.0450051,0.0676598,0.260136
0.0458439,-0.0689207,-0.264986
-0.0461749,0.0694182,0.266901
0.0462914,-0.0695932,-0.267573
-0.0461674,0.0694069,0.266855
0.0458198,-0.0688844,-0.264843
-0.0449277,0.0675434,0.259683
0.043045,-0.0647132,-0.248799
-0.0378983,0.0569758,0.219049
0.0230007,-0.0345791,-0.132942
0.00189555,-0.00284975,-0.0109564
0.0144976,-0.0217957,-0.0837949
-0.034672,0.0521257,0.200404
0.0417919,-0.0628296,-0.241558
-0.0444195,0.0667798,0.256749
0.0456431,-0.0686191,-0.263824
-0.0460945,0.0692976,0.266435
0.0462638,-0.0695519,-0.267414
-0.0461748,0.069418,0.2669
0.0458952,-0.0689977,-0.265282
-0.0452119,0.0679706,0.261331
0.043902,-0.0660014,-0.253756
-0.0406518,0.0611152,0.234968
0.0315559,-0.0474407,-0.182392
-0.017858,0.0268476,0.103218
0.00538928,-0.00810228,-0.0311489
-0.0305681,0.045956,0.176681
0.0398209,-0.0598666,-0.230162
-0.0434242,0.0652838,0.250992
0.0452418,-0.0680162,-0.261501
-0.0458965,0.0690002,0.265287
0.0461604,-0.0693967,-0.266815
-0.0460943,0.0692972,0.266434
0.0458435,-0.06892,-0.264984
-0.0452332,0.0680026,0.261456
0.0441719,-0.0664071,-0.255319
-0.0419123,0.0630103,0.242256
0.0364138,-0.054744,-0.210472
-0.0257575,0.0387236,0.148878
0.0111101,-0.0167028,-0.0642159
-0.0274542,0.0412747,0.158681
0.0380812,-0.0572514,-0.220104
-0.0423081,0.0636061,0.244536
0.0446939,-0.0671928,-0.258328
-0.0455617,0.0684974,0.263347
0.0459605,-0.0690966,-0.265655
-0.045896,0.0689995,0.265285
0.0456424,-0.068618,-0.26382
-0.045004,0.0676581,0.26013
0.0439889,-0.0661321,-0.254262
-0.0420101,0.0631572,0.242822
0.0380329,-0.0571781,-0.219832
-0.0298291,0.0448447,0.172412
0.0168861,-0.0253864,-0.0976009
-0.000335404,0.000504186,0.00193939
0.036937,-0.0555313,-0.213488
-0.0414294,0.0622854,0.239454
0.0441941,-0.0664418,-0.255435
-0.045187,0.0679343,0.261176
0.0456916,-0.0686928,-0.264095
-0.0455611,0.0684964,0.263344
0.0452406,-0.0680143,-0.261493
-0.0444175,0.0667767,0.256737
0.0432573,-0.0650324,-0.250032
-0.040987,0.0616192,0.236908
0.0369311,-0.0555216,-0.213463
-0.0301657,0.0453507,0.174358
0.0190037,-0.02857,-0.109841
-0.00297273,0.00446914,0.0171829
-0.0256105,0.0385029,0.148024
-0.0408907,0.0614755,0.236337
0.0438471,-0.0659203,-0.253425
-0.0448941,0.0674943,0.259478
0.0454494,-0.068329,-0.26269
-0.0451864,0.0679335,0.261172
0.0446925,-0.0671907,-0.25832
-0.0434214,0.0652796,0.250976
0.0417871,-0.0628224,-0.241531
-0.0385242,0.0579169,0.222672
0.0327333,-0.0492109,-0.1892
-0.0268008,0.0402921,0.154909
0.0175488,-0.0263827,-0.101431
-0.0031823,0.00478421,0.0183942
-0.0249416,0.0374974,0.144157
0.0363628,-0.0546682,-0.210168
0.0436657,-0.0656476,-0.252373
-0.0447179,0.0672295,0.258455
0.0452847,-0.0680816,-0.261733
-0.0448937,0.0674937,0.259476
0.044193,-0.0664401,-0.255428
-0.0423055,0.0636022,0.244521
0.0398157,-0.0598589,-0.230133
-0.0346617,0.0521101,0.200344
0.0248184,-0.0373118,-0.14345
-0.0195813,0.0294383,0.113179
0.0124525,-0.0187211,-0.0719751
-0.00103007,0.00154854,0.00595444
-0.0254013,0.0381884,0.146814
0.0363151,-0.0545964,-0.209891
-0.040692,0.0611769,0.235187
-0.044655,0.067135,0.258089
0.045201,-0.067956,-0.261246
-0.0447176,0.0672292,0.258454
0.0438463,-0.0659191,-0.25342
-0.0414277,0.0622827,0.239444
0.0380773,-0.0572456,-0.220082
-0.0305588,0.0459421,0.176627
0.0144763,-0.0217636,-0.0836718
-0.00923294,0.0138807,0.0533656
0.00380949,-0.00572716,-0.0220186
0.00406722,-0.0061147,-0.0235073
-0.027021,0.0406234,0.156175
0.0367904,-0.055311,-0.212638
-0.040829,0.0613827,0.235978
0.0436505,-0.0656248,-0.252284
