mx,my,mz
0.0033558,0.037558,0.0083018
0.0372775,-0.00392084,-0.00902471
0.0419998,0.0346821,-0.000767981
0.029488,0.0267594,3.99798e-05
0.0419901,0.0346671,-0.000769466
0.0373251,-0.00397088,-0.00904708
0.00339542,0.0375013,0.00827958
0.0420058,0.0346748,-0.000771022
0.0318447,0.0238783,-0.00116361
0.0419893,0.0346681,-0.000769056
0.0335635,0.0277108,-0.000614907
0.0335558,0.027704,-0.000614853
0.00334958,0.0375643,0.00830466
0.0376291,0.0206836,-0.00318575
0.00336185,0.0375497,0.00829849
0.0335635,0.0277108,-0.000614877
0.0335553,0.0277045,-0.000614639
0.0373301,-0.00397823,-0.00904992
0.0274895,0.0330797,0.00199277
0.0373182,-0.00396331,-0.00904376
0.0335572,0.027706,-0.000614671
0.0335495,0.0276992,-0.000614622
0.0372935,-0.00393982,-0.00903275
0.0274978,0.0330709,0.00198884
0.0372816,-0.00392491,-0.0090266
0.0335576,0.0277055,-0.000614889
0.0335495,0.0276992,-0.000614648
0.00337999,0.0375208,0.0082876
0.0376221,0.0206936,-0.00318186
0.00339225,0.0375062,0.00828144
0.0373343,-0.00398233,-0.00905181
0.00338602,0.0375125,0.0082843
0.0420133,0.0346863,-0.000769886
0.0318424,0.0238768,-0.00116347
0.0419967,0.0346796,-0.000767919
0.00334638,0.0375692,0.00830653
0.0372865,-0.00393227,-0.00902943
0.0420125,0.0346872,-0.000769487
0.0294862,0.0267574,3.99106e-05
0.0420027,0.0346723,-0.000770972
0.0274882,0.033081,0.00199336
0.0376211,0.0206951,-0.00318126
0.0294859,0.0267571,3.98997e-05
0.029709,0.0245285,-0.000544277
0.0294883,0.0267597,3.99885e-05
0.0376301,0.0206821,-0.00318634
0.0274991,0.0330696,0.00198825
0.0318421,0.0238766,-0.00116344
0.029709,0.0245285,-0.000544277
0.031845,0.0238785,-0.00116363
0.0373251,-0.00397088,-0.00904708
0.00339542,0.0375013,0.00827958
0.0420058,0.0346748,-0.000771022
0.0318447,0.0238783,-0.00116361
0.0419893,0.0346681,-0.000769056
0.0033558,0.037558,0.0083018
0.0372775,-0.00392084,-0.00902471
0.0419998,0.0346821,-0.000767981
0.029488,0.0267594,3.99798e-05
0.0419901,0.0346671,-0.000769466
0.0335635,0.0277108,-0.000614877
0.0335553,0.0277045,-0.000614639
0.0373301,-0.00397823,-0.00904992
0.0274895,0.0330797,0.00199277
0.0373182,-0.00396331,-0.00904376
0.0335635,0.0277108,-0.000614907
0.0335558,0.027704,-0.000614853
0.00334958,0.0375643,0.00830466
0.0376291,0.0206836,-0.00318575
0.00336185,0.0375497,0.00829849
0.0335576,0.0277055,-0.000614889
0.0335495,0.0276992,-0.000614648
0.00337999,0.0375208,0.0082876
0.0376221,0.0206936,-0.00318186
0.00339225,0.0375062,0.00828144
0.0335572,0.027706,-0.000614671
0.0335495,0.0276992,-0.000614622
0.0372935,-0.00393982,-0.00903275
0.0274978,0.0330709,0.00198884
0.0372816,-0.00392491,-0.0090266
0.00334638,0.0375692,0.00830653
0.0372865,-0.00393227,-0.00902943
0.0420125,0.0346872,-0.000769487
0.0294862,0.0267574,3.99106e-05
0.0420027,0.0346723,-0.000770972
0.0373343,-0.00398233,-0.00905181
0.00338602,0.0375125,0.0082843
0.0420133,0.0346863,-0.000769886
0.0318424,0.0238768,-0.00116347
0.0419967,0.0346796,-0.000767919
0.0376301,0.0206821,-0.00318634
0.0274991,0.0330696,0.00198825
0.0318421,0.0238766,-0.00116344
0.029709,0.0245285,-0.000544277
0.031845,0.0238785,-0.00116363
0.0274882,0.033081,0.00199336
0.0376211,0.0206951,-0.00318126
0.0294859,0.0267571,3.98997e-05
0.029709,0.0245285,-0.000544277
0.0294883,0.0267597,3.99885e-05
