mx,my,mz
0.0809044,0.0367328,0.23472
-0.0586105,-0.0899002,-0.231831
0.0333955,0.131511,0.210479
0.011989,-0.191407,-0.157405
-0.0300784,0.175292,0.0972089
0.0736888,-0.178275,0.00706998
-0.105297,0.15306,-0.109378
0.100583,-0.0675984,0.18123
-0.0981792,0.0213258,-0.220497
-0.090188,0.000506164,-0.221181
0.0774141,0.0473768,0.236533
-0.0532086,-0.100017,-0.22843
0.0330026,0.132412,0.210393
-0.00232919,-0.163439,-0.165292
-0.0364027,0.189734,0.0957645
0.0485228,-0.117429,0.00461808
-0.0899442,0.112853,-0.110897
0.0955397,-0.0551551,0.180981
0.0901458,-0.0395698,0.182939
-0.0874715,-0.00471385,-0.219601
0.0775846,0.0466451,0.236237
-0.0602442,-0.086698,-0.23272
0.0344741,0.127936,0.20964
-0.0184838,-0.131021,-0.173349
-0.0189591,0.150643,0.100475
0.0425045,-0.102877,0.00403312
-0.0759651,0.0771808,-0.111364
-0.07255,0.0696763,-0.110297
0.0906844,-0.0412677,0.182606
-0.0911878,0.00272697,-0.221471
0.082089,0.0337697,0.234738
-0.0694658,-0.0662445,-0.235417
0.0483009,0.0993344,0.215701
-0.0236965,-0.118662,-0.174095
-0.00371854,0.115664,0.103784
0.0362451,-0.0877432,0.00342328
0.036966,-0.0894861,0.00349361
-0.0774745,0.0807781,-0.111562
0.096651,-0.0580199,0.180916
-0.0998894,0.0264325,-0.219715
0.0905663,0.0154696,0.237709
-0.0766031,-0.0471465,-0.234314
0.0573029,0.0790605,0.218034
-0.030813,-0.103997,-0.177269
-0.000816426,0.107892,0.10333
-0.00519152,0.119278,0.103692
0.0436232,-0.105582,0.00414187
-0.0931482,0.121431,-0.110397
0.101564,-0.0704328,0.180873
-0.109815,0.0542547,-0.216947
0.098383,-0.00629303,0.235674
-0.0815843,-0.0373051,-0.236949
0.0591058,0.0733511,0.216891
-0.0300065,-0.105552,-0.176805
-0.0224646,-0.121463,-0.173802
-0.0227256,0.158919,0.0992964
0.0507381,-0.122786,0.00483379
-0.105728,0.153862,-0.109654
0.11454,-0.109427,0.174695
-0.110462,0.0548965,-0.217913
0.101791,-0.0174809,0.233128
-0.0811978,-0.0379203,-0.2366
0.0564365,0.0813525,0.218142
0.0459337,0.104088,0.214524
-0.01719,-0.133688,-0.172772
-0.0366723,0.190626,0.0959721
0.0784325,-0.189744,0.00753237
-0.0979133,0.134445,-0.109404
0.122057,-0.132828,0.170326
-0.110823,0.0558175,-0.2179
0.0972559,-0.00281858,0.236296
-0.0753517,-0.0500739,-0.234097
-0.068362,-0.0691769,-0.235567
0.0334216,0.130522,0.209578
0.000938213,-0.169907,-0.163576
-0.0285154,0.171421,0.0972711
0.0938341,-0.22698,0.00903422
-0.0995398,0.138287,-0.109651
0.112242,-0.102437,0.175871
-0.108735,0.0516845,-0.216803
0.0892848,0.0183059,0.237328
