mu_max,T
0.262909,0.314314
0.262381,0.315315
0.261849,0.316316
0.261312,0.317317
0.260772,0.318318
0.260226,0.319319
0.259676,0.32032
0.259121,0.321321
0.258562,0.322322
0.257998,0.323323
0.25743,0.324324
0.256856,0.325325
0.256278,0.326326
0.255695,0.327327
0.255107,0.328328
0.254515,0.329329
0.253917,0.33033
0.253315,0.331331
0.252708,0.332332
0.252096,0.333333
0.251478,0.334334
0.250855,0.335335
0.250228,0.336336
0.249595,0.337337
0.248957,0.338338
0.248314,0.339339
0.247665,0.34034
0.247011,0.341341
0.246352,0.342342
0.245687,0.343343
0.245017,0.344344
0.244341,0.345345
0.24366,0.346346
0.242973,0.347347
0.24228,0.348348
0.241582,0.349349
0.240878,0.35035
0.240168,0.351351
0.239452,0.352352
0.23873,0.353353
0.238002,0.354354
0.237268,0.355355
0.236528,0.356356
0.235782,0.357357
0.23503,0.358358
0.234271,0.359359
0.233506,0.36036
0.232735,0.361361
0.231957,0.362362
0.231172,0.363363
0.230381,0.364364
0.229583,0.365365
0.228779,0.366366
0.227967,0.367367
0.227149,0.368368
0.226323,0.369369
0.225491,0.37037
0.224651,0.371371
0.223805,0.372372
0.22295,0.373373
0.222089,0.374374
0.221219,0.375375
0.220343,0.376376
0.219458,0.377377
0.218566,0.378378
0.217666,0.379379
0.216758,0.38038
0.215842,0.381381
0.214918,0.382382
0.213985,0.383383
0.213044,0.384384
0.212095,0.385385
0.211137,0.386386
0.21017,0.387387
0.209194,0.388388
0.208209,0.389389
0.207215,0.39039
0.206212,0.391391
0.2052,0.392392
0.204178,0.393393
0.203146,0.394394
0.202104,0.395395
0.201052,0.396396
0.19999,0.397397
0.198918,0.398398
0.197836,0.399399
0.196742,0.4004
0.195638,0.401401
0.194523,0.402402
0.193396,0.403403
0.192258,0.404404
0.191109,0.405405
0.189947,0.406406
0.188774,0.407407
0.187588,0.408408
0.18639,0.409409
0.185179,0.41041
0.183954,0.411411
0.182717,0.412412
0.181466,0.413413
0.180201,0.414414
0.178922,0.415415
0.177629,0.416416
0.17632,0.417417
0.174997,0.418418
0.173658,0.419419
0.172303,0.42042
0.170932,0.421421
0.169544,0.422422
0.16814,0.423423
0.166718,0.424424
0.165278,0.425425
0.16382,0.426426
0.162342,0.427427
0.160846,0.428428
0.159329,0.429429
0.157792,0.43043
0.156234,0.431431
0.154654,0.432432
0.153052,0.433433
0.151426,0.434434
0.149776,0.435435
0.148102,0.436436
0.146402,0.437437
0.144676,0.438438
0.142922,0.439439
0.14114,0.44044
0.139328,0.441441
0.137485,0.442442
0.135611,0.443443
0.133703,0.444444
0.13176,0.445445
0.129782,0.446446
0.127764,0.447447
0.125707,0.448448
0.123608,0.449449
0.121465,0.45045
0.119276,0.451451
0.117038,0.452452
0.114748,0.453453
0.112402,0.454454
0.109998,0.455455
0.107531,0.456456
0.104998,0.457457
0.102392,0.458458
0.0997089,0.459459
0.0969416,0.46046
0.0940829,0.461461
0.0911242,0.462462
0.088055,0.463463
0.0848639,0.464464
0.0815357,0.465465
0.0780536,0.466466
0.0743956,0.467467
0.0705345,0.468468
0.066435,0.469469
0.0620489,0.47047
0.0573107,0.471471
0.0521237,0.472472
0.0463367,0.473473
0.0396838,0.474474
0.0316146,0.475475
0.0214137,0.476476
0.00293915,0.477477
0.000814491,0.478478
0.000333539,0.479479
0.000231667,0.48048
0.000175882,0.481481
0.000142925,0.482482
0.000119703,0.483483
0.000103942,0.484484
9.16284e-05,0.485485
8.12362e-05,0.486486
7.34693e-05,0.487487
6.67608e-05,0.488488
6.16191e-05,0.489489
5.68832e-05,0.49049
5.3361e-05,0.491491
4.98526e-05,0.492492
