mx,my,mz
-1.43413e-05,6.7327e-06,4.51705e-06
1.43344e-05,-6.73223e-06,-4.52095e-06
-1.43258e-05,6.72831e-06,4.50908e-06
1.43301e-05,-6.72756e-06,-4.52436e-06
1.43294e-05,-6.73488e-06,-4.52179e-06
-1.43316e-05,6.73528e-06,4.52068e-06
1.43395e-05,-6.73564e-06,-4.53134e-06
-1.43419e-05,6.73362e-06,4.50795e-06
-1.43232e-05,6.73038e-06,4.51091e-06
1.43278e-05,-6.73444e-06,-4.52501e-06
-1.43404e-05,6.73686e-06,4.52015e-06
1.43332e-05,-6.73159e-06,-4.52524e-06
1.43372e-05,-6.73337e-06,-4.53113e-06
-1.43398e-05,6.73617e-06,4.50658e-06
1.43288e-05,-6.7347e-06,-4.52286e-06
-1.43307e-05,6.7303e-06,4.52296e-06
