mx,my,mz
4.22387e-06,-5.47414e-07,2.3157e-06
-3.88407e-06,6.37684e-07,-2.08289e-06
4.29171e-06,-6.58304e-07,1.98925e-06
-4.09243e-06,6.23392e-07,-2.08022e-06
-4.36213e-06,9.24476e-07,-2.24019e-06
3.94956e-06,-1.06022e-06,2.07921e-06
-4.15486e-06,7.49847e-07,-1.98386e-06
4.38093e-06,-4.27659e-07,2.02287e-06
4.59312e-06,-9.34603e-07,2.49735e-06
-3.97662e-06,1.08693e-06,-2.21699e-06
4.22964e-06,-6.93872e-07,2.23963e-06
-4.56328e-06,5.87738e-07,-2.4178e-06
-4.43363e-06,5.93921e-07,-2.16283e-06
4.25829e-06,-4.56911e-07,1.83983e-06
-4.38692e-06,6.86958e-07,-1.81725e-06
4.59546e-06,-6.38132e-07,2.04562e-06
