mx,my,mz
-4.64354e-06,1.23891e-06,1.6471e-06
3.80568e-06,5.44397e-08,-1.62544e-06
-4.47335e-06,1.45883e-06,2.01447e-06
4.79212e-06,-1.34424e-06,-1.96551e-06
4.1071e-06,-1.66461e-07,-7.93655e-07
-3.19767e-06,-2.01937e-07,6.85851e-07
4.19488e-06,-4.6534e-07,-9.2943e-07
-3.66389e-06,6.36852e-07,9.68524e-07
-3.08939e-06,1.31026e-06,1.37377e-06
2.93688e-06,-3.47427e-07,-1.48647e-06
-4.01226e-06,1.70253e-06,1.33655e-06
3.74077e-06,-1.34833e-06,-1.19191e-06
4.66906e-06,-8.51131e-07,-7.34733e-07
-3.83916e-06,2.49489e-07,1.02353e-06
5.14666e-06,-1.43802e-06,-1.03629e-06
-4.88721e-06,1.26211e-06,7.94792e-07
