mx,my,mz
-0.0711223,0.00124239,-0.0518701
0.0711223,-0.0012424,0.0518701
-0.0711223,0.0012424,-0.0518701
0.0711223,-0.0012424,0.0518701
0.0711223,-0.0012424,0.0518701
-0.0711223,0.0012424,-0.0518701
0.0711223,-0.0012424,0.0518701
-0.0711223,0.00124239,-0.0518701
-0.0711223,0.0012424,-0.0518701
0.0711223,-0.0012424,0.0518701
-0.0711223,0.00124239,-0.0518701
0.0711223,-0.0012424,0.0518701
0.0711223,-0.0012424,0.0518701
-0.0711223,0.00124239,-0.0518701
0.0711223,-0.0012424,0.0518701
-0.0711223,0.0012424,-0.0518701
