mx,my,mz
-2.21625e-06,-7.01679e-07,6.43175e-07
2.5587e-06,4.72082e-07,-7.42364e-07
-1.87813e-06,-1.25625e-06,-1.37291e-07
1.78437e-06,1.33969e-06,2.56169e-08
3.14237e-06,9.75057e-07,-4.26518e-07
-2.27641e-06,3.06285e-08,5.77462e-07
1.5266e-06,1.67448e-06,2.67328e-07
-1.90781e-06,-1.9261e-06,-4.29496e-07
-1.9998e-06,-4.72262e-07,1.76179e-06
1.66372e-06,-5.89143e-07,-1.82809e-06
-6.11605e-07,-1.59132e-07,1.13333e-06
9.51474e-07,1.74681e-06,-1.21387e-06
1.18573e-06,1.4168e-06,-4.70029e-07
-1.00461e-06,-5.84856e-08,3.74938e-07
9.01204e-07,1.12075e-06,3.5798e-07
-2.71532e-07,-1.53325e-06,2.09463e-09
