mx,my,mz
5.9373e-06,3.8775e-05,-2.89553e-06
-5.88471e-06,-3.85099e-05,2.72245e-06
5.6216e-06,3.86969e-05,-2.35167e-06
-5.55675e-06,-3.85628e-05,2.63514e-06
-5.54007e-06,-3.88397e-05,3.41553e-06
5.82586e-06,3.87652e-05,-3.14693e-06
-5.31786e-06,-3.90024e-05,2.8465e-06
5.20864e-06,3.90762e-05,-3.21786e-06
5.54026e-06,3.90154e-05,-2.69354e-06
-5.56151e-06,-3.84712e-05,2.51051e-06
5.0701e-06,3.85498e-05,-2.21417e-06
-4.94135e-06,-3.87438e-05,2.50496e-06
-6.04591e-06,-3.92213e-05,3.0736e-06
5.95801e-06,3.89984e-05,-2.97301e-06
-5.54399e-06,-3.86986e-05,2.62902e-06
5.72894e-06,3.87986e-05,-2.8292e-06
