mx,my,mz
-0.0491272,0.124909,-0.00101794
0.0491272,-0.124909,0.00101793
-0.0491272,0.124909,-0.00101792
0.0491272,-0.124909,0.00101794
0.0491272,-0.124909,0.00101793
-0.0491272,0.124909,-0.00101793
0.0491272,-0.124909,0.00101794
-0.0491272,0.124909,-0.00101793
-0.0491272,0.124909,-0.00101792
0.0491272,-0.124909,0.00101794
-0.0491272,0.124909,-0.00101794
0.0491272,-0.124909,0.00101793
0.0491272,-0.124909,0.00101794
-0.0491272,0.124909,-0.00101793
0.0491272,-0.124909,0.00101793
-0.0491272,0.124909,-0.00101793
