mx,my,mz
8.71833e-07,-3.09978e-06,4.19079e-06
-7.7064e-07,3.13778e-06,-4.15882e-06
5.45218e-07,-3.16422e-06,4.17935e-06
-6.47128e-07,3.12931e-06,-4.19209e-06
-7.69899e-07,3.0479e-06,-4.12384e-06
6.85836e-07,-3.03268e-06,4.09029e-06
-5.07817e-07,3.0386e-06,-4.10605e-06
6.38457e-07,-3.02106e-06,4.12215e-06
7.94864e-07,-2.73687e-06,4.20309e-06
-7.09738e-07,2.74532e-06,-4.14541e-06
6.05536e-07,-2.81186e-06,4.19119e-06
-6.95061e-07,2.82174e-06,-4.22906e-06
-8.77751e-07,2.78193e-06,-4.14592e-06
8.16294e-07,-2.81343e-06,4.09075e-06
-6.14182e-07,2.92897e-06,-4.12639e-06
7.21325e-07,-2.86456e-06,4.16624e-06
