mx,my,mz
-3.81834e-06,-1.3422e-06,3.50875e-06
3.87995e-06,1.31454e-06,-3.48092e-06
-3.89303e-06,-1.29947e-06,3.47197e-06
3.83413e-06,1.33261e-06,-3.49854e-06
3.79957e-06,1.33598e-06,-3.46389e-06
-3.85577e-06,-1.31065e-06,3.44841e-06
3.8636e-06,1.30931e-06,-3.43115e-06
-3.79863e-06,-1.32782e-06,3.44053e-06
-3.81334e-06,-1.35778e-06,3.46417e-06
3.85327e-06,1.3404e-06,-3.44742e-06
-3.86242e-06,-1.3537e-06,3.42218e-06
3.82676e-06,1.37764e-06,-3.43905e-06
3.83813e-06,1.36575e-06,-3.4634e-06
-3.8695e-06,-1.33465e-06,3.42705e-06
3.89569e-06,1.34784e-06,-3.41699e-06
-3.85745e-06,-1.36933e-06,3.44583e-06
