mx,my,mz
-2.39282e-05,2.287e-06,-1.11886e-06
2.28689e-05,-1.61906e-06,1.47584e-06
-2.24758e-05,2.36265e-06,-1.63551e-06
2.41907e-05,-3.01978e-06,1.24404e-06
2.2954e-05,-2.12479e-06,2.45963e-06
-2.20115e-05,2.32538e-06,-2.77683e-06
2.22157e-05,-2.49803e-06,2.48437e-06
-2.34061e-05,3.16346e-06,-2.07319e-06
-2.32691e-05,1.92324e-06,-1.5645e-06
2.35652e-05,-2.8805e-06,1.82348e-06
-2.28995e-05,2.96502e-06,-1.40599e-06
2.36152e-05,-1.97521e-06,1.2186e-06
2.43647e-05,-1.77001e-06,2.15725e-06
-2.3868e-05,2.68544e-06,-2.37097e-06
2.31146e-05,-2.64617e-06,2.43865e-06
-2.37924e-05,2.3315e-06,-2.18828e-06
