mx,my,mz
4.09006e-06,-5.23818e-07,2.24341e-06
-3.75538e-06,6.12629e-07,-2.01436e-06
4.15667e-06,-6.32897e-07,1.92255e-06
-3.96003e-06,5.98928e-07,-2.01185e-06
-4.22548e-06,8.94496e-07,-2.16886e-06
3.81991e-06,-1.02762e-06,2.01078e-06
-4.02184e-06,7.23024e-07,-1.91724e-06
4.24384e-06,-4.06126e-07,1.95521e-06
4.45235e-06,-9.04553e-07,2.42156e-06
-3.84649e-06,1.05439e-06,-2.14619e-06
4.09503e-06,-6.67775e-07,2.16855e-06
-4.42272e-06,5.63722e-07,-2.34333e-06
-4.29561e-06,5.69823e-07,-2.09304e-06
4.12401e-06,-4.34673e-07,1.77557e-06
-4.2497e-06,6.61262e-07,-1.75332e-06
4.45481e-06,-6.13222e-07,1.97769e-06
