mx,my,mz
-2.0901e-06,-6.54992e-07,6.07312e-07
2.42376e-06,4.37072e-07,-7.03788e-07
-1.76677e-06,-1.18884e-06,-1.42443e-07
1.67711e-06,1.2668e-06,3.47656e-08
2.98505e-06,9.20663e-07,-3.96873e-07
-2.14801e-06,4.85187e-08,5.4199e-07
1.42759e-06,1.59493e-06,2.69799e-07
-1.79492e-06,-1.83291e-06,-4.26731e-07
-1.88447e-06,-4.34216e-07,1.6824e-06
1.56201e-06,-5.8392e-07,-1.74683e-06
-5.47781e-07,-1.30232e-07,1.07957e-06
8.75945e-07,1.66306e-06,-1.15701e-06
1.10183e-06,1.34733e-06,-4.38031e-07
-9.24906e-07,-3.68567e-08,3.46998e-07
8.29866e-07,1.06088e-06,3.58087e-07
-2.20027e-07,-1.45365e-06,-1.01818e-08
