mx,my,mz
-1.53247e-05,4.68245e-06,-4.90663e-06
1.53327e-05,-4.68857e-06,4.91088e-06
-1.53373e-05,4.69171e-06,-4.91561e-06
1.5327e-05,-4.68792e-06,4.90682e-06
1.53245e-05,-4.68398e-06,4.90638e-06
-1.53314e-05,4.68483e-06,-4.916e-06
1.53359e-05,-4.68987e-06,4.90576e-06
-1.53269e-05,4.68605e-06,-4.91351e-06
-1.53326e-05,4.69235e-06,-4.91531e-06
1.53315e-05,-4.68828e-06,4.91092e-06
-1.53378e-05,4.68474e-06,-4.91142e-06
1.53367e-05,-4.69122e-06,4.91126e-06
1.53273e-05,-4.69186e-06,4.90419e-06
-1.53275e-05,4.68776e-06,-4.91635e-06
1.53336e-05,-4.68761e-06,4.90988e-06
-1.53314e-05,4.68873e-06,-4.91513e-06
