mx,my,mz
-2.14484e-05,4.31762e-05,-5.97331e-06
2.14394e-05,-4.31622e-05,5.97436e-06
-2.14404e-05,4.31626e-05,-5.97136e-06
2.14466e-05,-4.31715e-05,5.98586e-06
2.14474e-05,-4.31755e-05,5.97039e-06
-2.14487e-05,4.31728e-05,-5.97316e-06
2.14259e-05,-4.31543e-05,5.99114e-06
-2.14438e-05,4.31694e-05,-5.97489e-06
-2.14448e-05,4.31666e-05,-5.97284e-06
2.14491e-05,-4.3172e-05,5.98726e-06
-2.14473e-05,4.31754e-05,-5.97477e-06
2.14402e-05,-4.3165e-05,5.97589e-06
2.14284e-05,-4.3155e-05,5.99204e-06
-2.14443e-05,4.31665e-05,-5.97572e-06
2.14442e-05,-4.31714e-05,5.97126e-06
-2.14475e-05,4.31721e-05,-5.97411e-06
