mx,my,mz
-7.94306e-06,-9.95371e-07,-8.33114e-07
7.2487e-06,2.08807e-06,8.38551e-07
-7.48875e-06,-2.86646e-06,2.72804e-07
9.2976e-06,2.62503e-06,4.50351e-08
8.57704e-06,2.40627e-06,1.04866e-06
-6.63677e-06,-2.91122e-06,-1.63619e-06
6.75001e-06,4.11909e-06,1.2196e-06
-8.37861e-06,-2.63836e-06,-8.83655e-07
-7.48602e-06,-1.54911e-06,6.2046e-07
8.06085e-06,2.16672e-06,-1.71288e-07
-8.01483e-06,-1.58521e-06,2.62435e-08
9.139e-06,1.29078e-06,-6.36143e-07
7.22046e-06,2.54978e-06,1.81591e-06
-6.8451e-06,-1.77618e-06,-1.82624e-06
8.66401e-06,1.58408e-06,9.83063e-07
-8.28968e-06,-1.35828e-06,-1.1857e-06
