mx,my,mz
3.14352e-06,-3.15519e-06,3.31851e-06
-3.05761e-06,3.1904e-06,-3.34733e-06
3.00615e-06,-3.11001e-06,3.30396e-06
-3.1173e-06,3.12423e-06,-3.28008e-06
-3.05225e-06,3.11646e-06,-3.31596e-06
3.0009e-06,-3.16202e-06,3.33732e-06
-2.89987e-06,3.11318e-06,-3.2975e-06
3.00733e-06,-3.10244e-06,3.28208e-06
2.96201e-06,-3.11407e-06,3.4127e-06
-2.90426e-06,3.19308e-06,-3.43365e-06
2.79808e-06,-3.15052e-06,3.39674e-06
-2.88182e-06,3.12628e-06,-3.38328e-06
-3.06072e-06,3.1907e-06,-3.34163e-06
3.00066e-06,-3.24197e-06,3.36881e-06
-2.91213e-06,3.1977e-06,-3.32781e-06
3.02645e-06,-3.17763e-06,3.3029e-06
