mx,my,mz
4.10125e-06,-1.26994e-05,-4.7384e-06
-4.0912e-06,1.27118e-05,4.71068e-06
4.08447e-06,-1.27199e-05,-4.70729e-06
-4.10169e-06,1.27127e-05,4.71837e-06
-4.07151e-06,1.26849e-05,4.72995e-06
4.06889e-06,-1.26935e-05,-4.71809e-06
-4.05909e-06,1.27059e-05,4.70254e-06
4.05991e-06,-1.26969e-05,-4.71927e-06
4.08399e-06,-1.2678e-05,-4.70778e-06
-4.08626e-06,1.27065e-05,4.6878e-06
4.06035e-06,-1.27073e-05,-4.69182e-06
-4.06481e-06,1.26843e-05,4.69456e-06
-4.11537e-06,1.269e-05,4.73305e-06
4.10245e-06,-1.27143e-05,-4.71932e-06
-4.08935e-06,1.27173e-05,4.71445e-06
4.10071e-06,-1.26906e-05,-4.73242e-06
