mx,my,mz
4.6231e-06,-5.12488e-06,2.34107e-06
-5.48934e-06,5.50432e-06,-2.28213e-06
5.45918e-06,-5.33982e-06,1.97025e-06
-4.0207e-06,5.01625e-06,-1.99313e-06
-4.8738e-06,6.47075e-06,-2.1524e-06
5.58292e-06,-6.53876e-06,2.12499e-06
-5.35515e-06,6.46237e-06,-1.95891e-06
4.62207e-06,-5.86055e-06,1.7977e-06
4.1289e-06,-6.52937e-06,2.23032e-06
-4.40313e-06,7.07754e-06,-2.16602e-06
4.5427e-06,-6.81949e-06,2.22843e-06
-3.86455e-06,6.25926e-06,-2.0275e-06
-4.32411e-06,5.89024e-06,-1.34623e-06
5.20576e-06,-6.29301e-06,1.28878e-06
-4.94342e-06,6.54946e-06,-1.23581e-06
3.99358e-06,-5.85133e-06,1.15965e-06
