mx,my,mz
-4.19888e-06,-1.11816e-05,-4.46301e-06
4.15314e-06,1.11627e-05,4.48847e-06
-4.09013e-06,-1.11858e-05,-4.48276e-06
4.13116e-06,1.12227e-05,4.4833e-06
4.17796e-06,1.11962e-05,4.49239e-06
-4.11692e-06,-1.11803e-05,-4.51248e-06
4.10137e-06,1.11707e-05,4.51525e-06
-4.14344e-06,-1.11857e-05,-4.50556e-06
-4.17395e-06,-1.11867e-05,-4.4617e-06
4.12759e-06,1.11958e-05,4.46977e-06
-4.09914e-06,-1.1184e-05,-4.44219e-06
4.14305e-06,1.1197e-05,4.45945e-06
4.2098e-06,1.11939e-05,4.50247e-06
-4.16915e-06,-1.11826e-05,-4.49903e-06
4.10566e-06,1.12234e-05,4.47894e-06
-4.1318e-06,-1.12374e-05,-4.49045e-06
