mx,my,mz
-7.95793e-05,2.78787e-05,-6.31034e-06
7.95791e-05,-2.78791e-05,6.29912e-06
-7.95822e-05,2.78744e-05,-6.29873e-06
7.95755e-05,-2.78789e-05,6.30014e-06
7.95677e-05,-2.78792e-05,6.30404e-06
-7.9567e-05,2.78772e-05,-6.30481e-06
7.95756e-05,-2.78752e-05,6.29867e-06
-7.95716e-05,2.78756e-05,-6.30287e-06
-7.95787e-05,2.78753e-05,-6.29887e-06
7.95704e-05,-2.78844e-05,6.29961e-06
-7.9578e-05,2.78829e-05,-6.30772e-06
7.95794e-05,-2.78785e-05,6.29716e-06
7.95755e-05,-2.78726e-05,6.29859e-06
-7.95699e-05,2.78777e-05,-6.30212e-06
7.95698e-05,-2.788e-05,6.30122e-06
-7.95708e-05,2.78732e-05,-6.30264e-06
