mx,my,mz
-2.31303e-06,-1.00607e-05,-1.43989e-06
2.43102e-06,1.07094e-05,1.48443e-06
-3.34662e-06,-1.03593e-05,-4.70736e-07
3.23965e-06,9.02541e-06,7.00415e-07
2.69141e-06,9.64192e-06,2.09028e-06
-2.91319e-06,-1.0004e-05,-2.04684e-06
4.07988e-06,1.05384e-05,9.54254e-07
-3.80675e-06,-8.60354e-06,-1.26935e-06
-3.44476e-06,-9.56282e-06,-8.33124e-07
3.21068e-06,1.09273e-05,8.2494e-07
-4.72229e-06,-1.05044e-05,-2.58723e-07
5.30048e-06,8.94789e-06,8.13795e-07
3.69577e-06,1.03871e-05,1.91516e-06
-2.4414e-06,-1.08784e-05,-2.06806e-06
4.3531e-06,1.03606e-05,1.6994e-06
-4.64836e-06,-8.7377e-06,-2.01624e-06
