mx,my,mz
-2.36511e-06,-3.61795e-06,-7.0853e-06
2.35873e-06,3.6227e-06,7.08112e-06
-2.35841e-06,-3.62945e-06,-7.07938e-06
2.35828e-06,3.62405e-06,7.07574e-06
2.36837e-06,3.6214e-06,7.09155e-06
-2.36287e-06,-3.62739e-06,-7.09337e-06
2.3672e-06,3.63954e-06,7.0816e-06
-2.35988e-06,-3.6354e-06,-7.0906e-06
-2.36384e-06,-3.61867e-06,-7.08122e-06
2.36293e-06,3.62713e-06,7.07559e-06
-2.361e-06,-3.64375e-06,-7.07972e-06
2.35563e-06,3.63475e-06,7.07745e-06
2.36813e-06,3.61297e-06,7.07701e-06
-2.36029e-06,-3.62323e-06,-7.08424e-06
2.35985e-06,3.63156e-06,7.0798e-06
-2.35538e-06,-3.62324e-06,-7.0836e-06
