mx,my,mz
0.0770379,-0.0805091,0.0138631
-0.0770379,0.0805091,-0.0138631
0.0770379,-0.0805091,0.0138631
-0.0770379,0.0805091,-0.0138631
-0.0770379,0.0805091,-0.0138631
0.0770379,-0.0805091,0.0138631
-0.0770379,0.0805091,-0.0138631
0.0770379,-0.0805091,0.0138631
0.0770379,-0.0805091,0.0138631
-0.0770379,0.0805091,-0.0138631
0.0770379,-0.0805091,0.0138631
-0.0770379,0.0805091,-0.0138631
-0.0770379,0.0805091,-0.0138631
0.0770379,-0.0805091,0.0138631
-0.0770379,0.0805091,-0.0138631
0.0770379,-0.0805091,0.0138631
