mx,my,mz
-1.27695e-05,1.98216e-05,-3.02587e-06
1.25383e-05,-2.00797e-05,2.87121e-06
-1.1596e-05,2.01421e-05,-2.96405e-06
1.18309e-05,-1.95632e-05,2.96499e-06
1.26193e-05,-2.0207e-05,3.32263e-06
-1.22169e-05,2.03847e-05,-3.06848e-06
1.14407e-05,-2.00357e-05,3.11106e-06
-1.17261e-05,1.98635e-05,-3.21132e-06
-1.31029e-05,2.05239e-05,-2.85991e-06
1.28882e-05,-2.06094e-05,2.71391e-06
-1.19338e-05,2.01314e-05,-2.86477e-06
1.23803e-05,-1.98055e-05,2.8879e-06
1.33372e-05,-2.02944e-05,3.08466e-06
-1.3053e-05,2.0751e-05,-3.00962e-06
1.21943e-05,-2.04155e-05,3.21403e-06
-1.23136e-05,1.98963e-05,-3.11938e-06
