mx,my,mz
5.87185e-06,-8.9102e-07,-2.13534e-05
-5.87205e-06,8.97837e-07,2.13578e-05
5.87618e-06,-8.92937e-07,-2.13504e-05
-5.87145e-06,9.00672e-07,2.13573e-05
-5.86897e-06,9.02743e-07,2.13564e-05
5.87742e-06,-8.95225e-07,-2.13501e-05
-5.87644e-06,9.04162e-07,2.13617e-05
5.88285e-06,-8.9484e-07,-2.13516e-05
5.87585e-06,-8.93521e-07,-2.13501e-05
-5.87187e-06,9.01048e-07,2.13573e-05
5.87198e-06,-8.91352e-07,-2.13531e-05
-5.87144e-06,8.9838e-07,2.13572e-05
-5.8756e-06,9.03235e-07,2.13618e-05
5.88275e-06,-8.93701e-07,-2.1352e-05
-5.86859e-06,9.01561e-07,2.13565e-05
5.87631e-06,-8.94254e-07,-2.135e-05
