mx,my,mz
7.86687e-06,-8.9289e-06,1.68748e-06
-7.9584e-06,8.36445e-06,-1.76585e-06
8.81486e-06,-5.75308e-06,1.92854e-06
-6.77122e-06,6.79567e-06,-1.58143e-06
-7.72892e-06,9.4663e-06,-1.12438e-07
9.99056e-06,-8.56536e-06,-9.29555e-07
-1.05137e-05,7.51503e-06,4.27293e-07
9.50925e-06,-7.37445e-06,-2.48772e-08
8.59742e-06,-8.31021e-06,1.65873e-06
-9.88548e-06,9.73402e-06,-7.52214e-07
1.01813e-05,-8.25942e-06,1.20089e-06
-7.63674e-06,8.83164e-06,-1.33441e-06
-5.81714e-06,1.01093e-05,-1.64837e-08
8.04845e-06,-9.33264e-06,-3.87354e-08
-6.74392e-06,8.56047e-06,2.88292e-07
5.85562e-06,-8.68102e-06,-4.30596e-07
