mx,my,mz
-4.17128e-06,-6.4514e-06,2.93208e-06
4.78465e-06,5.7326e-06,-2.8556e-06
-4.7579e-06,-5.99493e-06,2.65671e-06
4.16851e-06,6.8434e-06,-2.69719e-06
4.18795e-06,6.54117e-06,-2.68473e-06
-4.88122e-06,-5.74473e-06,2.68273e-06
4.79833e-06,6.09564e-06,-2.51873e-06
-4.00944e-06,-6.80012e-06,2.53232e-06
-4.00736e-06,-6.00024e-06,2.95645e-06
4.74072e-06,5.2386e-06,-3.0315e-06
-4.71483e-06,-5.30252e-06,2.77762e-06
4.22891e-06,6.2997e-06,-2.75806e-06
4.07047e-06,6.0206e-06,-2.52701e-06
-4.50423e-06,-5.09127e-06,2.57852e-06
4.70291e-06,5.29781e-06,-2.25382e-06
-4.16566e-06,-6.17763e-06,2.25237e-06
