mx,my,mz
2.13656e-05,9.48465e-07,-2.10892e-06
-2.14576e-05,-6.16489e-07,1.846e-06
2.21929e-05,9.64241e-08,-1.95491e-06
-2.17854e-05,-4.01088e-07,2.24303e-06
-2.16114e-05,-1.11732e-06,2.44941e-06
2.1837e-05,1.39475e-06,-2.2908e-06
-2.20516e-05,-5.00824e-07,2.48915e-06
2.21646e-05,8.48552e-07,-2.68876e-06
2.23667e-05,9.70808e-07,-1.38016e-06
-2.23903e-05,-1.16079e-06,1.38994e-06
2.3049e-05,4.80227e-07,-1.78152e-06
-2.29188e-05,-2.24122e-07,1.6722e-06
-2.21541e-05,-1.60555e-07,2.08255e-06
2.24541e-05,1.86819e-07,-2.14086e-06
-2.30793e-05,4.99307e-07,2.36399e-06
2.29581e-05,-2.71132e-07,-2.31193e-06
