mx,my,mz
-2.05284e-06,1.39205e-07,1.90643e-06
1.12046e-06,3.56599e-07,-1.20132e-06
-1.13227e-06,1.09583e-06,1.04414e-06
1.95349e-06,-9.21911e-07,-1.4427e-06
1.52889e-06,6.07608e-07,-1.54031e-06
-9.60196e-08,-4.50396e-07,8.19809e-07
1.46246e-07,1.19989e-07,-6.51374e-07
-5.51661e-07,2.48697e-07,1.1748e-06
-1.04962e-06,-1.36705e-06,1.9965e-06
1.92469e-07,1.70056e-06,-1.47098e-06
4.97279e-07,-7.72901e-07,1.25019e-06
2.33902e-07,1.01534e-06,-1.38212e-06
1.5706e-06,7.51348e-07,-1.21574e-06
-1.73258e-07,-8.79081e-07,7.42061e-07
3.21526e-07,-2.57676e-07,-2.41789e-07
-9.64727e-07,4.02231e-07,4.50213e-07
