mx,my,mz
-3.4371e-06,-5.24717e-06,2.64347e-06
3.22367e-06,5.35243e-06,-2.45688e-06
-3.14441e-06,-5.40453e-06,2.56695e-06
3.46575e-06,5.43416e-06,-2.68495e-06
3.26987e-06,5.08891e-06,-2.47883e-06
-3.22055e-06,-5.10802e-06,2.38701e-06
3.25281e-06,5.17595e-06,-2.36966e-06
-3.3278e-06,-5.09801e-06,2.45856e-06
-3.18365e-06,-5.38678e-06,2.72558e-06
3.23328e-06,5.40223e-06,-2.63041e-06
-3.022e-06,-5.43826e-06,2.67457e-06
3.16495e-06,5.55033e-06,-2.74979e-06
3.39502e-06,5.64869e-06,-2.4604e-06
-3.13984e-06,-5.55825e-06,2.28143e-06
2.98265e-06,5.74033e-06,-2.42825e-06
-3.24352e-06,-5.79696e-06,2.56279e-06
