mx,my,mz
1.16589e-05,-1.71044e-05,-3.36355e-05
-1.16559e-05,1.7107e-05,3.36361e-05
1.16676e-05,-1.71022e-05,-3.36393e-05
-1.16608e-05,1.71051e-05,3.36351e-05
-1.1662e-05,1.71114e-05,3.36416e-05
1.1658e-05,-1.71021e-05,-3.3635e-05
-1.16594e-05,1.71031e-05,3.36457e-05
1.16604e-05,-1.71039e-05,-3.36355e-05
1.16676e-05,-1.71022e-05,-3.36393e-05
-1.16608e-05,1.71051e-05,3.36351e-05
1.16589e-05,-1.71044e-05,-3.36355e-05
-1.16559e-05,1.7107e-05,3.36361e-05
-1.16594e-05,1.71031e-05,3.36457e-05
1.16604e-05,-1.71039e-05,-3.36355e-05
-1.1662e-05,1.71114e-05,3.36416e-05
1.1658e-05,-1.71021e-05,-3.3635e-05
