mx,my,mz
8.63972e-06,-3.38572e-05,2.94969e-06
-8.33269e-06,3.3648e-05,-2.63529e-06
8.32931e-06,-3.36948e-05,3.06078e-06
-8.72548e-06,3.41097e-05,-3.26141e-06
-8.0377e-06,3.41255e-05,-2.80123e-06
8.10437e-06,-3.38732e-05,2.59169e-06
-7.85738e-06,3.37746e-05,-2.982e-06
8.16529e-06,-3.39689e-05,3.01514e-06
8.24594e-06,-3.4995e-05,3.02638e-06
-8.11003e-06,3.47881e-05,-2.89129e-06
8.09781e-06,-3.46884e-05,3.3914e-06
-8.43542e-06,3.50601e-05,-3.35154e-06
-8.63039e-06,3.47591e-05,-2.54424e-06
8.41822e-06,-3.43345e-05,2.32388e-06
-8.26583e-06,3.45206e-05,-2.87037e-06
8.93493e-06,-3.49252e-05,2.95779e-06
