mx,my,mz
2.59635e-05,-5.19551e-06,-6.65766e-06
-2.59672e-05,5.19517e-06,6.66261e-06
2.59596e-05,-5.19825e-06,-6.65215e-06
-2.59587e-05,5.19114e-06,6.65847e-06
-2.59638e-05,5.19873e-06,6.65934e-06
2.59577e-05,-5.19308e-06,-6.6492e-06
-2.59639e-05,5.19718e-06,6.6586e-06
2.59719e-05,-5.19702e-06,-6.65959e-06
2.59595e-05,-5.19827e-06,-6.65222e-06
-2.59586e-05,5.19126e-06,6.65843e-06
2.59634e-05,-5.19554e-06,-6.65762e-06
-2.59671e-05,5.19511e-06,6.66267e-06
-2.59639e-05,5.1971e-06,6.65858e-06
2.59719e-05,-5.19703e-06,-6.65947e-06
-2.59638e-05,5.19866e-06,6.65921e-06
2.59577e-05,-5.19292e-06,-6.64918e-06
