mx,my,mz
-3.66649e-06,6.04045e-06,1.2335e-06
3.21384e-06,-4.34777e-06,-1.43124e-06
-3.10258e-06,3.62952e-06,1.65305e-06
4.44089e-06,-5.21667e-06,-1.73966e-06
5.58451e-06,-4.91387e-06,-8.52297e-08
-4.02012e-06,3.13762e-06,4.54152e-07
5.43307e-06,-2.02419e-06,7.42492e-08
-6.05978e-06,4.6644e-06,1.39843e-08
-5.35119e-06,5.05737e-06,1.75651e-06
6.38197e-06,-3.60075e-06,-1.71286e-06
-6.63846e-06,3.19519e-06,1.29119e-06
6.63159e-06,-4.14457e-06,-1.6369e-06
3.68887e-06,-3.93842e-06,-3.34604e-08
-4.65046e-06,4.27898e-06,2.24452e-07
5.19589e-06,-3.03357e-06,-3.91431e-07
-3.60989e-06,4.84661e-06,3.41896e-07
